r,F,B0
4.961240397674419,0.39779501567777387,2.4117528331541148e-05
5.0412604024756185,0.39164223067581677,2.199088006296968e-05
5.121280407276819,0.38567454940038914,2.007873385910622e-05
5.2013004120780195,0.37988384412954546,1.83568383163873e-05
5.281320416879219,0.37426245027241484,1.6803968320474983e-05
5.36134042168042,0.3688031342608081,1.5401513250227987e-05
5.44136042648162,0.363499064040411,1.413312568785189e-05
5.521380431282821,0.3583437819227161,1.298442111254979e-05
5.60140043608402,0.3533311795832213,1.1942720649484162e-05
5.681420440885221,0.34845547501308044,1.0996830257936391e-05
5.761440445686421,0.34371119125066363,1.0136850824863094e-05
5.841460450487622,0.33909313673664265,9.35401452495832e-06
5.921480455288822,0.3345963871515232,8.640543550015375e-06
6.001500460090022,0.3302162686082113,7.989527926478908e-06
6.081520464891223,0.3259483420844099,7.3948196529971565e-06
6.161540469692423,0.32178838899057444,6.850940817740231e-06
6.241560474493623,0.31773239777894285,6.353003713081907e-06
6.321580479294823,0.3137765515079413,5.896641265068101e-06
6.401600484096024,0.30991721628414626,5.4779463468344095e-06
6.4816204888972235,0.3061509305110739,5.093418756925231e-06
6.561640493698424,0.30247439488044175,4.7399188219991445e-06
6.641660498499625,0.2988844630472948,4.414626734192468e-06
6.721680503300825,0.29537813293556353,4.1150068610076426e-06
6.801700508102025,0.2919525386253002,3.838776373763207e-06
6.881720512903225,0.2886049427770625,3.583877632510519e-06
6.961740517704426,0.2853327295527342,3.348453843485408e-06
7.041760522505626,0.2821333979955327,3.1308275717805556e-06
7.121780527306826,0.279004555835087,2.929481748799454e-06
7.2018005321080265,0.27594391368631443,2.7430428626913755e-06
7.281820536909227,0.272949279613407,2.570266061629876e-06
7.361840541710428,0.270018554032581,2.410021935542972e-06
7.441860546511627,0.26714972492938427,2.261284772620273e-06
7.521880551312828,0.2643408633682921,2.123122113359078e-06
7.601900556114028,0.2615901192740994,1.994685447699064e-06
7.681920560915228,0.25889571746622714,1.8752019204664628e-06
7.761940565716428,0.256255953928539,1.7639669273548667e-06
7.841960570517629,0.25366919229860907,1.6603374983928423e-06
7.9219805753188295,0.251133860561613,1.5637263786131605e-06
8.00200058012003,0.24864844793514362,1.4735967267203788e-06
8.08202058492123,0.2462115019322821,1.3894573621875607e-06
8.162040589722428,0.24382162559120352,1.310858499599557e-06
8.242060594523629,0.24147747486046145,1.2373879163704854e-06
8.32208059932483,0.23917775612989595,1.168667506343287e-06
8.40210060412603,0.23692122389783704,1.1043501773546605e-06
8.48212060892723,0.23470667856595182,1.0441170557271429e-06
8.562140613728431,0.23253296435370074,9.876749649236444e-07
8.642160618529632,0.2303989673249388,9.347541493480797e-07
8.722180623330832,0.22830361351972225,8.851062175671503e-07
8.80220062813203,0.22624586718486567,8.385022821219485e-07
8.882220632933231,0.22422472909724053,7.947312756447887e-07
8.962240637734432,0.22223923497421966,7.535984252406847e-07
9.042260642535632,0.2202884539660504,7.14923869072226e-07
9.122280647336833,0.21837148722529523,6.785414008345466e-07
9.202300652138033,0.21648746654880038,6.442973293521118e-07
9.282320656939234,0.2146355530879571,6.120494418963451e-07
9.362340661740433,0.21281493612329852,5.816660610342345e-07
9.442360666541633,0.21102483189973362,5.53025185891993e-07
9.522380671342834,0.2092644825189607,5.260137096710825e-07
9.602400676144034,0.20753315488582394,5.005267061007908e-07
9.682420680945235,0.2058301397055851,4.764667782647489e-07
9.762440685746435,0.2041547505292732,4.5374346390921697e-07
9.842460690547636,0.20250632284445388,4.322726919383493e-07
9.922480695348836,0.2008842132089267,4.1197628533440144e-07
10.002500700150035,0.19928779842501224,3.9278150621639856e-07
10.082520704951236,0.1977164747522352,3.7462063917565154e-07
10.162540709752436,0.19616965715634413,3.5743060940645366e-07
10.242560714553637,0.19464677859273213,3.4115263249029504e-07
10.322580719354837,0.19314728932244032,3.2573189299654403e-07
10.402600724156038,0.19167065625903468,3.111172493355916e-07
10.482620728957238,0.190216362344747,2.972609625454592e-07
10.562640733758437,0.1887839059543674,2.8411844691288834e-07
10.642660738559638,0.18737280032546189,2.716480405276388e-07
10.722680743360838,0.18598257301357443,2.598107940465736e-07
10.802700748162039,0.18461276537114688,2.4857027610416076e-07
10.88272075296324,0.1832629320489652,2.3789239395023194e-07
10.96274075776444,0.18193264051900743,2.2774522802581856e-07
11.04276076256564,0.1806214706176316,2.180988793051599e-07
11.12278076736684,0.17932901410810279,2.0892532833785595e-07
11.20280077216804,0.17805487426151279,2.0019830502079458e-07
11.28282077696924,0.17679866545519946,1.9189316821597242e-07
11.36284078177044,0.17556001278782146,1.8398679440858316e-07
11.442860786571641,0.1743385517102897,1.7645747467059037e-07
11.522880791372842,0.173133927671801,1.6928481925920617e-07
11.602900796174042,0.17194579578025976,1.6244966923788697e-07
11.682920800975243,0.1707738204764113,1.5593401456026462e-07
