R_Lambda,E2,E4,E_omega_full,E_tot
0.40072615659871313,0.16544106256044905,-0.11047652517595409,0.07852776929749236,0.1334923066819873
0.42951362721768593,0.17730979125352447,-0.10307201104629772,0.07777196297110452,0.15200974317833127
0.460369139692654,0.19002872725593964,-0.09616377274867849,0.076929481236962,0.17079443574422315
0.49344125855624865,0.20365858757088762,-0.08971854818156803,0.07599269496101045,0.18993273435033003
0.5288892209589171,0.21826439736338513,-0.08370530458308138,0.07495382200185645,0.20951291478216022
0.5668837033712366,0.2339157914673752,-0.07809508911302611,0.07380505656384595,0.22962575891819503
0.6076076433647917,0.2506873363643585,-0.07286088944945071,0.07253873130782898,0.2503651782227368
0.6512571204283595,0.2686588739273603,-0.06797750372848757,0.07114751487149916,0.2718288850703719
0.6980423000604009,0.287915888290676,-0.06342141920127045,0.06962464639010683,0.29411911547951236
0.7481884456835126,0.3085498972733368,-0.05917069902367944,0.06796420704610323,0.3173434052957606
0.801937003253059,0.33065886985210347,-0.05520487663382279,0.06616142654074515,0.3416154197590258
0.8595467637821995,0.3543476712473543,-0.051504857208700926,0.06421301962670206,0.36705583366535544
0.9212951093806925,0.37972853725173294,-0.04805282572558079,0.0621175444690902,0.39379325599524234
0.987479348806967,0.40692157949587143,-0.04483216118541051,0.059875770682627845,0.42196518899308877
1.0584181489639273,0.43613668124169463,-0.04182735658524478,0.05749104058744404,0.4518003652438939
1.1344530692309331,0.4674679824067588,-0.03902394425451384,0.0549696028144159,0.48341364096666084
1.2159502060195173,0.5010500697930141,-0.03640842619532334,0.052320893284631464,0.5169625368823223
1.3033019554711356,0.5370446359706745,-0.03396820909170246,0.049557735334954146,0.5526341622139261
1.3969289027840524,0.5756249892231723,-0.031691543674738545,0.04669642902956922,0.590629874578003
1.4972818472661866,0.6169768879998068,-0.029567468151659868,0.0437567002236923,0.6311661200718391
1.6048439728642416,0.6612994353140241,-0.02758575542649427,0.04076148345523286,0.6744751633427628
1.7201331746198658,0.70880603739371,-0.025736863858179936,0.03773651982250229,0.7208056933580322
1.8437045522543876,0.7597254311992574,-0.024011891319035483,0.034709761959487585,0.7704233018397095
1.9761530828883371,0.8143027857567424,-0.02240253233238866,0.03171059288134455,0.8236108463056984
2.1181164857645025,0.8728008826089667,-0.020901038082987166,0.028768883060443447,0.880668727586423
2.2702782927677023,0.9355013810680459,-0.019500179107648823,0.02591392911156472,0.9419151310719619
2.4333711395253683,1.0027061743615484,-0.018193210486511454,0.023173335715555108,1.007686299590592
2.6081802929350655,1.0747388432018123,-0.016973839367284357,0.020571917163205576,1.0783369209977336
2.7955474321034726,1.1519462137771614,-0.01583619466613522,0.018130703245154277,1.1542407223561806
2.9963747009014345,1.2347000276664963,-0.014774798799327244,0.015866133582923606,1.2357913624500927
3.211629051647528,1.3233987317176494,-0.013784541309498398,0.013789513291916322,1.3234037037000674
3.442346900834315,1.4184693965074942,-0.012860654259597615,0.0119067810519068,1.4175155232998033
3.6896391193138656,1.5203697726208856,-0.011998689276003423,0.010218610148265082,1.5185896934931473
3.9546963809695486,1.6295904946491169,-0.01119449613029116,0.008720827712451265,1.627116826231277
4.2387948956270876,1.7466574435197824,-0.010444202756523397,0.007405102579736251,1.743618343342995
4.543302553808012,1.872134278532325,-0.009744196607849722,0.006259823735919711,1.868649905660395
4.869685512911493,2.006625151290607,-0.00909110726265098,0.005271074284979273,2.002805118312935
5.219515256536035,2.150777614599677,-0.008481790196479117,0.004423603203499705,2.1467194276066976
5.594476160930605,2.3052857403326494,-0.007913311641657017,0.0037017088888074185,2.3010741375798
5.996373605006384,2.4708934612796756,-0.007382934461639784,0.0030899716445003,2.466600498462536
6.427142662957764,2.648398153069591,-0.006888104972124451,0.0025738014752954693,2.644083849572762
6.888857421346055,2.8386544734105454,-0.006426440645454048,0.0021397967126539196,2.834367829477745
7.383740965506318,3.0425784771350255,-0.0059957186391144685,0.0017759326736201397,3.038358691169531
7.914176083360318,3.261152026862566,-0.0055938650930906705,0.001471614466946195,3.2570297762364215
8.482716738172776,3.495427520516783,-0.005218945144550626,0.0012176335346207661,3.491426208906853
9.092100365490516,3.7465329584590417,-0.0048691536117792715,0.0010060651823391347,3.7426698700296015
9.745261053472296,4.0156773746361685,-0.004542806302507031,0.0008301371598649995,4.011964705493527
10.445343670070711,4.304156657892405,-0.004238331904783832,0.0006840904167869697,4.300602416404408
11.195719005086213,4.613359791474283,-0.00395426442135449,0.0005630448700457908,4.609968571922975
12.0,4.944775540770677,-0.003689236111108058,0.0004628766583032238,4.941549181317872
